year,title,test,binary,budget,domgross,intgross,budget_2026$,domgross_2026$,intgross_2026$
2013,The To Do List,ok,PASS,1500000,3491669,3491669,2085000,4853420,4853420
2013,The Way Way Back,ok,PASS,5000000,21502690,26161443,6950000,29888739,36364406
2013,The Wolf of Wall Street,notalk,FAIL,100000000,115702857,365702857,139000000,160826971,508326971
2013,The Wolverine,ok,PASS,115000000,132556852,416456852,159850000,184254024,578875024
2013,The World&#39;s End,men,FAIL,20000000,26004851,46578821,27800000,36146743,64744561
2013,This Is the End,notalk,FAIL,32000000,101470202,126294264,44480000,141043581,175549027
2013,Thor: The Dark World,dubious,FAIL,170000000,204674790,631674790,236300000,284497958,878027958
2013,Trance,nowomen,FAIL,16000000,2322593,22594052,22240000,3228404,31405732
2013,Turbo,dubious,FAIL,135000000,83028130,283828130,187650000,115409101,394521101
2013,Warm Bodies,men,FAIL,30000000,66380662,116643610,41700000,92269120,162134618
2013,We&#39;re the Millers,ok,PASS,37000000,150394119,270000119,51430000,209047825,375300165
2013,White House Down,men,FAIL,150000000,73103784,205440387,208500000,101614260,285562138
2013,World War Z,dubious,FAIL,190000000,202359711,539559711,264100000,281279998,749987998
2012,Abraham Lincoln: Vampire Hunter,dubious,FAIL,67500000,37519139,115119139,95198463,52915027,162358002
2012,Act of Valor,nowomen,FAIL,12000000,70012847,82497035,16924172,98742452,116349495
2012,Amour,dubious,FAIL,9700000,6738954,25915719,13680372,9504268,36550172
2012,Anna Karenina,men,FAIL,49000000,12816367,70735540,69107033,18075532,99761700
2012,Argo,ok,PASS,44500000,136025503,221300694,62760468,191843242,312110904
2012,Battleship,notalk,FAIL,209000000,65235400,304142720,294762649,92004591,428946957
2012,Beasts of the Southern Wild,dubious,FAIL,1800000,12795746,21080058,2538625,18046449,29730210
2012,Blue Like Jazz,ok,PASS,1200000,595018,595018,1692417,839182,839182
2012,Brave,ok,PASS,185000000,237282182,554606532,260914308,334650358,782187995
2012,Bullet to the Head,nowomen,FAIL,55000000,9489829,13561515,77569118,13383957,19126450
2012,Chernobyl Diaries,notalk,FAIL,1000000,18119640,38390020,1410348,25554992,54143273
2012,Chronicle,notalk,FAIL,12000000,64575175,127075175,16924172,91073444,179220168
2012,Cloud Atlas,ok,PASS,102000000,27108272,126018564,143855456,38232086,177729980
2012,Contraband,ok,PASS,25000000,66528000,98406855,35258690,93827605,138787872
2012,Django Unchained,notalk,FAIL,100000000,162805434,425373688,141034761,229612254,599924763
2012,Flight,dubious,FAIL,31000000,93772375,161772375,43720776,132251645,228155282
2012,Frankenweenie,nowomen,FAIL,39000000,35287788,81150788,55003557,49768048,114450819
2012,Hannibal,ok,PASS,87000000,165092266,350100280,122700241,232837482,493763092
2012,Hotel Transylvania,ok,PASS,85000000,148313048,359222014,119879546,209172952,506627908
2012,Jack Reacher,notalk,FAIL,60000000,80070736,217370736,84620856,112927571,306568297
2012,Jagten,men,FAIL,3450000,687185,687185,4865699,969169,969169
2012,John Carter,ok,PASS,275000000,73058679,282778100,387845592,103038133,398815417
2012,Killing Them Softly,nowomen,FAIL,15000000,14945541,37238774,21155213,21078408,52519615
2012,Les Miserables,ok,PASS,65000000,148809770,442022894,91672595,209873503,623405930
2012,Life of Pi,notalk,FAIL,120000000,124987022,607987022,169241713,176275148,857473041
2012,Lincoln,ok,PASS,65000000,182207973,273000960,91672595,256976578,385026250
2012,Madagascar 3: Europe&#39;s Most Wanted,men,FAIL,145000000,216391482,746921271,204500403,305187209,1053418627
2012,Men in Black III,notalk,FAIL,215000000,179020854,624821154,303224736,252481634,881215018
2012,Mirror Mirror,dubious,FAIL,85000000,64935167,168611991,119879546,91581158,237801518
2012,Moonrise Kingdom,ok,PASS,16000000,45512466,64012466,22565562,64188397,90279829
2012,Much Ado About Nothing,dubious,FAIL,8000000,22549338,22549338,11282782,31802405,31802405
2012,One for the Money,ok,PASS,42000000,26414527,36197221,59234600,37253665,51050663
2012,Paranormal Activity 4,ok,PASS,5000000,53900335,142793842,7051738,76018209,201388953
2012,ParaNorman,notalk,FAIL,60000000,56003051,108159011,84620856,78983768,152541803
2012,Parental Guidance,ok,PASS,25000000,77267296,120168633,35258690,108973745,169479543
2012,People Like Us,ok,PASS,16000000,12431792,12431792,22565562,17533149,17533149
2012,Pitch Perfect,ok,PASS,17000000,65001093,115331177,23975910,91674136,162657049
2012,Premium Rush,ok,PASS,35000000,20275446,31393201,49362167,28595426,44275325
2012,Red Dawn,notalk,FAIL,65000000,44806783,48164150,91672595,63193139,67928194
2012,Red Tails,men,FAIL,58000000,49876377,50365498,81800161,70343029,71032860
2012,Rise of the Guardians,notalk,FAIL,145000000,103412758,306900902,204500403,145847935,432836952
2012,Rock of Ages,ok,PASS,70000000,38518613,50118613,98724333,54324633,70684666
2012,Safe,notalk,FAIL,33000000,17142080,41495213,46541471,24176291,58522674
2012,Safety Not Guaranteed,ok,PASS,750000,4010957,4413188,1057761,5656844,6224129
2012,Seven Psychopaths,notalk,FAIL,13500000,15024049,23492318,19039693,21189132,33132335
2012,Silent Hill: Revelation 3D,ok,PASS,20000000,17530219,47944599,28206952,24723702,67618550
2012,Silver Linings Playbook,ok,PASS,21000000,132092958,227317397,29617300,186296987,320596547
2012,Sinister,men,FAIL,3000000,48086903,87727807,4231043,67819248,123726702
2012,Skyfall,dubious,FAIL,200000000,304360277,1108694081,282069521,429253788,1563644043
2012,Snow White and the Huntsman,ok,PASS,170000000,155136755,400911200,239759093,218796752,565424151
2012,Sparkle,ok,PASS,10000000,24397469,24660323,14103477,34408912,34779628
2012,Spring Breakers,ok,PASS,5000000,14124286,30669531,7051738,19920153,43254700
2012,Step Up Revolution,ok,PASS,33000000,35074677,165552290,46541471,49467487,233486276
2012,Supporting Characters,men,FAIL,60000,4917,4917,84620,6935,6935
2012,Ted,men,FAIL,50000000,218665740,549444574,70517380,308394703,774907839
2012,That&#39;s My Boy,notalk,FAIL,67500000,36931089,58058367,95198463,52085673,81882479
2012,The Amazing Spider-Man,men,FAIL,220000000,262030663,757890267,310276473,369554318,1068888723
2012,The Avengers,notalk,FAIL,60000000,23385416,48585416,84620856,32981566,68522325
2012,The Dark Knight Rises,notalk,FAIL,275000000,448139099,1079343943,387845592,632031906,1522250146
2012,The Devil Inside,ok,PASS,1000000,53261944,101758489,1410348,75117855,143514841
2012,The Dictator,notalk,FAIL,65000000,59650222,179379532,91672595,84127548,252987493
2012,The Expendables 2,ok,PASS,100000000,85028192,311979256,141034761,119919307,439999197
2012,The Grey,nowomen,FAIL,25000000,51580136,84339696,35258690,72745921,118948288
2012,The Hobbit: An Unexpected Journey,nowomen,FAIL,250000000,303003568,1014703568,352586901,427340357,1431084748
2012,The Hunger Games,ok,PASS,80000000,408010692,684510692,112827808,575436902,965398016
2012,The Impossible,men,FAIL,40000000,19019882,169590606,56413905,26824645,239181705
2012,The Man with the Iron Fists,notalk,FAIL,15000000,15634090,21985095,21155213,22049502,31006626
2012,The Master,notalk,FAIL,37500000,16247159,25116740,52888035,22914142,35423334
2012,The Pirates! Band of Misfits,notalk,FAIL,55000000,31051126,123056220,77569118,43792881,173552046
2012,The Place Beyond the Pines,notalk,FAIL,15000000,21403519,47011449,21155213,30186402,66302484
2012,The Twilight Saga: Breaking Dawn - Part 2,dubious,FAIL,136200000,292324737,832660037,192089344,412279493,1174340089
2012,The Vow,ok,PASS,8738320,125014030,197618160,12324068,176313238,278710298
2012,The Watch,men,FAIL,55000000,34353000,67353000,77569118,48449672,94991142
2012,The Woman in Black,notalk,FAIL,15000000,54333290,128955898,21155213,76628825,181872642
2012,The Words,notalk,FAIL,6000000,11494838,12132578,8462085,16211717,17111153
2012,Think Like a Man,ok,PASS,12000000,91547205,96155124,16924172,129113382,135612149
2012,To Rome With Love,men,FAIL,21500000,16684352,74363777,30322473,23530736,104878775
2012,Total Recall,notalk,FAIL,125000000,58877969,198615996,176293451,83038403,280117594
2012,Underworld: Awakening,ok,PASS,70000000,62321039,160379930,98724333,87894329,226191450
2012,Wanderlust,ok,PASS,32500000,17288155,24159934,45836297,24382308,34073905
2012,What to Expect When You&#39;re Expecting,ok,PASS,37500000,41152203,80652203,52888035,58038911,113747642
2012,Won&#39;t Back Down,ok,PASS,19000000,5310554,5431486,26796605,7489727,7660283
2012,Wrath of the Titans,notalk,FAIL,150000000,83670083,301970083,211552141,118003901,425882784
2012,Wreck-It Ralph,ok,PASS,165000000,189412677,473412677,232707355,267137716,667676435
2012,Zero Dark Thirty,ok,PASS,52500000,95720716,137720716,74043250,134999483,194234083
2011,30 Minutes or Less,notalk,FAIL,28000000,37053924,40966716,40309085,53343207,58976102
2011,50/50,men,FAIL,8000000,35016118,41334735,11516881,50409561,59505906
2011,A Dangerous Method,dubious,FAIL,20000000,5702083,14807531,28792204,8208777,21317072
2011,A Lonely Place to Die,ok,PASS,4000000,#N/A,442550,5758441,#N/A,637100
2011,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,20000000,35061031,36265745,28792204,50474218,52208536
2011,Another Earth,ok,PASS,175000,1321194,1781194,251932,1902004,2564225
2011,Apollo 18,nowomen,FAIL,5000000,17686929,26517819,7198051,25462283,38175323
2011,Arthur Christmas,notalk,FAIL,85000000,46462469,147624649,122366867,66887844,212521950
2011,Attack the Block,ok,PASS,13000000,1024175,5406422,18714932,1474413,7783140
2011,Bad Teacher,ok,PASS,19000000,100292856,216412265,27352594,144382618,311549303
2011,Battle: Los Angeles,notalk,FAIL,70000000,83552429,212005201,100772713,120282929,305204848
2011,Beastly,notalk,FAIL,17000000,27865571,38028230,24473373,40115560,54745827
2011,Blackthorn,notalk,FAIL,4500000,200558,1249765,6478247,288725,1799174
2011,Bridesmaids,ok,PASS,32500000,169106725,289263136,46787332,243447765,416426159
2011,Captain America: The First Avenger,notalk,FAIL,140000000,176654505,370569776,201545427,254313626,533476027
2011,Cars 2,men,FAIL,200000000,191450875,560155383,287922038,275614631,806405399
2011,Circumstance,ok,PASS,900000,454121,454121,1295650,653757,653757
2011,Colombiana,notalk,FAIL,40000000,36665854,71698079,57584407,52784537,103217286
2011,Conan the Barbarian,dubious,FAIL,20000000,38264085,79114085,28792204,55085366,113893443
2011,Contagion,ok,PASS,60000000,75658097,137551594,86376611,108918168,198020677
2011,Coriolanus,men,FAIL,10000000,749641,1049641,14396102,1079190,1511075
2011,Cowboys &amp; Aliens,notalk,FAIL,163000000,100240551,175910315,234656461,144307319,253242283
2011,Detention,ok,PASS,10000000,#N/A,#N/A,14396102,#N/A,#N/A
2011,Diary of a Wimpy Kid: Rodrick Rules,notalk,FAIL,18000000,52698535,73695194,25912983,75865348,106092352
2011,Dolphin Tale,men,FAIL,37000000,72286779,96068724,53265577,104064784,138301514
2011,Dream House,ok,PASS,50000000,21302340,39932340,71980509,30667065,57487004
2011,Drive,dubious,FAIL,15000000,35060689,78054825,21594153,50473726,112368522
2011,Fast Five,ok,PASS,125000000,209837675,629841284,179951274,302084456,906725933
2011,Final Destination 5,men,FAIL,40000000,42587643,157887643,57584407,61309604,227296660
2011,Footloose,ok,PASS,24000000,51802742,63412773,34550645,74575756,91289675
2011,Fright Night,dubious,FAIL,30000000,18298649,40520649,43188306,26342921,58333940
2011,Green Lantern,notalk,FAIL,200000000,116601172,231201172,287922038,167860236,332839564
2011,Hall Pass,men,FAIL,36000000,45060734,83693266,51825967,64869892,120485678
2011,Hanna,ok,PASS,30000000,40259119,65343694,43188306,57957439,94069448
2011,Harry Potter and the Deathly Hallows: Part 2,notalk,FAIL,125000000,381011219,1328111219,179951274,548507635,1911962449
2011,Haywire,nowomen,FAIL,23000000,18942396,22176190,33111034,27269666,31925070
2011,Hesher,notalk,FAIL,7000000,382946,382946,10077272,551293,551293
2011,Higher Ground,ok,PASS,1800000,841056,859182,2591298,1210793,1236887
2011,Hobo with a Shotgun,nowomen,FAIL,3000000,703372,834953,4318830,1012582,1202007
2011,Hop,men,FAIL,63000000,108085305,184924333,90695443,155600707,266218955
2011,Horrible Bosses,ok,PASS,35000000,117538559,214538559,50386357,169209708,308851897
2011,Hugo,dubious,FAIL,180000000,73864507,185033215,259129835,106336097,266375702
2011,I Am Number Four,notalk,FAIL,50000000,55100437,145982797,71980509,79323151,210158323
2011,Immortals,men,FAIL,75000000,83504017,211562435,107970765,120213234,304567438
2011,In Time,notalk,FAIL,35000000,37553932,170064664,50386357,54063023,244826824
2011,Iris,ok,PASS,5500000,5580479,15155021,7917856,8033715,21817323
2011,Jin ling shi san chai,ok,PASS,100000000,311434,93721434,143961020,448343,134922332
2011,Johnny English Reborn,dubious,FAIL,45000000,8305970,164539660,64782458,11957360,236872972
2011,Jumping the Broom,ok,PASS,7000000,37295394,38158601,10077272,53690829,54933510
2011,Just Go with It,dubious,FAIL,80000000,103028109,214974953,115168816,148320316,309480133
2011,Kill List,dubious,FAIL,800000,29063,462206,1151689,41839,665397
2011,Killer Elite,nowomen,FAIL,70000000,25124986,57777106,100772713,36170187,83176510
2011,Kung Fu Panda 2,ok,PASS,150000000,165249063,664837547,215941529,237894235,957106910
2011,Le Havre,dubious,FAIL,5500000,611709,13480196,7917856,880622,19406228
2011,Like Crazy,ok,PASS,250000,3395391,3731489,359903,4888039,5371890
2011,Limitless,notalk,FAIL,27000000,79249455,169739455,38869475,114088323,244358650
2011,Margaret,ok,PASS,14000000,47185,47185,20154543,67928,67928
2011,Margin Call,notalk,FAIL,3400000,5353586,17872206,4894675,7707077,25729010
2011,Mars Needs Moms,dubious,FAIL,150000000,21392758,39549758,215941529,30797232,56936235
2011,Martha Marcy May Marlene,ok,PASS,1000000,2981038,3531038,1439610,4291533,5083319
2011,Melancholia,ok,PASS,9400000,3030848,18044073,13532335,4363239,25976431
2011,Midnight in Paris,ok,PASS,30000000,56816662,154816662,43188306,81793845,222875644
2011,Mission: Impossible - Ghost Protocol,notalk,FAIL,145000000,209397903,694713230,208743478,301451356,1000116248
2011,Moneyball,notalk,FAIL,50000000,75605492,111174374,71980509,108842436,160047762
2011,Mr. Popper&#39;s Penguins,notalk,FAIL,55000000,68224452,189624452,79178560,98216616,272985294
2011,New Year&#39;s Eve,ok,PASS,26000000,54544638,143663899,37429864,78523017,206820014
2011,No Strings Attached,ok,PASS,25000000,70662220,149228078,35990255,101726052,214830262
2011,October Baby,ok,PASS,1000000,5355847,5355847,1439610,7710331,7710331
2011,Our Idiot Brother,ok,PASS,5000000,24814830,25861249,7198051,35723682,37230117
2011,Paranormal Activity 3,ok,PASS,5000000,104028807,207039844,7198051,149760931,298056670
2011,Paul,ok,PASS,40000000,37412945,100179814,57584407,53860056,144219881
2011,Pirates of the Caribbean: On Stranger Tides,notalk,FAIL,250000000,241063875,1043663875,359902549,347038011,1502469153
2011,Priest,notalk,FAIL,60000000,29136626,84154026,86376611,41945384,121148993
2011,Puss in Boots,notalk,FAIL,130000000,149260504,554987477,187149325,214876943,798965630
2011,Rango,notalk,FAIL,135000000,123257581,245504574,194347376,177442870,353430887
2011,Real Steel,notalk,FAIL,110000000,85463309,293237309,158357122,123033851,422147419
2011,Red Riding Hood,ok,PASS,42000000,37662162,90300442,60463628,54218832,129997437
2011,Red State,ok,PASS,4000000,1065429,1065429,5758441,1533802,1533802
2011,Restless,ok,PASS,8000000,163753,2818394,11516881,235740,4057389
2011,Rio,notalk,FAIL,90000000,143619809,487519809,129564918,206756541,701838486
2011,Rise of the Planet of the Apes,notalk,FAIL,93000000,176760185,482860185,133883748,254465764,695130445
2011,Shame,notalk,FAIL,6500000,4002293,10781688,9357466,5761742,15521428
2011,Snow Flower and the Secret Fan,ok,PASS,6000000,1348205,11348205,8637662,1940890,16336991
2011,Soul Surfer,ok,PASS,18000000,43853424,47158652,25912983,63131836,67890076
2011,Source Code,notalk,FAIL,32000000,54712227,140428499,46067526,78764279,202162299
2011,Straw Dogs,ok,PASS,25000000,10324441,11253821,35990255,14863170,16201116
2011,Sucker Punch,ok,PASS,75000000,36392502,89758389,107970765,52391017,129217092
2011,Super 8,ok,PASS,50000000,127004179,260095987,71980509,182836511,374436834
2011,Take Shelter,ok,PASS,4750000,1728953,3128953,6838148,2489019,4504473
2011,The Adjustment Bureau,dubious,FAIL,50200000,62495645,127793502,72268431,89969368,183972829
2011,The Adventures of Tintin,notalk,FAIL,130000000,77591831,373993951,187149325,111701990,538405504
2011,The Artist,notalk,FAIL,16000000,44667095,128256712,23033764,64303206,184639670
2011,The Best Exotic Marigold Hotel,ok,PASS,10000000,46383639,134729347,14396102,66774360,193957741
2011,The Cabin in the Woods,dubious,FAIL,30000000,42073277,70768144,43188306,60569118,101878542
2011,The Darkest Hour,ok,PASS,34800000,21443494,62831715,50098434,30870272,90453177
2011,The Divide,ok,PASS,3000000,18000,18000,4318830,25912,25912
2011,The Future,ok,PASS,1000000,568662,568662,1439610,818652,818652
2011,The Girl with the Dragon Tattoo,notalk,FAIL,90000000,102515793,233170238,129564918,147582780,335674251
2011,The Green Hornet,notalk,FAIL,110000000,98780042,227983150,158357122,142204755,328206867
2011,The Guard,notalk,FAIL,6000000,5359774,15944629,8637662,7715986,22954050
2011,The Help,ok,PASS,25000000,169705587,213120004,35990255,244309893,306809731
2011,The Iron Lady,ok,PASS,14000000,29959436,115592104,20154543,43129910,166407571
2011,The Lincoln Lawyer,notalk,FAIL,40000000,58009200,87145086,57584407,83510636,125454955
2011,The Mechanic,nowomen,FAIL,42500000,29121498,76347393,61183433,41923605,109910486
2011,The Muppets,notalk,FAIL,45000000,88625922,160971922,64782458,127586781,231736820
2011,The Rite,dubious,FAIL,37000000,33047633,96047633,53265577,47575709,138271152
2011,The Roommate,ok,PASS,16000000,37300107,40497461,23033764,53697614,58300557
2011,The Smurfs,ok,PASS,110000000,142614158,563066551,158357122,205308795,810596346
2011,The Three Musketeers,men,FAIL,90000000,20377913,139877913,129564918,29336252,201369670
2011,The Tree of Life,nowomen,FAIL,35000000,13305665,62305665,50386357,19154971,89695870
2011,The Twilight Saga: Breaking Dawn - Part 1,ok,PASS,127500000,281287133,709938657,183550299,404943824,1022034927
2011,Thor,ok,PASS,150000000,181030624,449326618,215941529,260613531,646855179
2011,Tinker Tailor Soldier Spy,notalk,FAIL,21000000,24149393,81452811,30231815,34765713,117260297
2011,Tower Heist,notalk,FAIL,85000000,78046570,153470352,122366867,112356637,220937484
2011,Transformers: Dark of the Moon,ok,PASS,195000000,352390543,1123794076,280723987,507305018,1617825406
2011,War Horse,notalk,FAIL,70000000,79883359,156815529,100772713,115000898,225753235
2011,Warrior,notalk,FAIL,25000000,13657115,24215385,35990255,19660922,34860715
2011,We Bought a Zoo,men,FAIL,50000000,75624550,118924550,71980509,108869874,171204995
2011,Weekend,notalk,FAIL,190000,484592,1577585,273526,697623,2271107
2011,What&#39;s Your Number,ok,PASS,20000000,14011084,30711084,28792204,20170500,44211990
2011,Winnie the Pooh,nowomen,FAIL,30000000,26692846,50145607,43188306,38427294,72190127
2011,X-Men: First Class,ok,PASS,160000000,146408305,355408305,230337631,210770889,511649419
2011,Young Adult,ok,PASS,12000000,16311571,22750356,17275322,23482304,32751644
2011,Your Sister&#39;s Sister,ok,PASS,120000,1597486,3090593,172753,2299758,4449250
2010,127 Hours,dubious,FAIL,18000000,18335230,60735230,26727160,27224925,90182237
2010,Alice in Wonderland,ok,PASS,200000000,334191110,1024391110,296968452,496221083,1521059211
2010,Animal Kingdom,notalk,FAIL,4200000,1044039,8078683,6236338,1550234,11995569
2010,Another Year,ok,PASS,8000000,3205706,18505706,11878738,4759967,27478054
2010,Barney&#39;s Version,ok,PASS,30000000,7502560,8845575,44545267,11140117,13134284
2010,Beginners,notalk,FAIL,3200000,5790894,11564267,4751495,8598564,17171112
2010,Biutiful,notalk,FAIL,35000000,5101237,25101237,51969478,7574533,37271378
2010,Black Swan,ok,PASS,13000000,106954678,331266710,19302949,158810826,491878811
2010,Blue Valentine,men,FAIL,1000000,9737892,16566240,1484842,14459233,24598253
2010,Burlesque,ok,PASS,55000000,39440655,89657398,81666324,58563152,133127093
2010,Casino Jack,notalk,FAIL,12500000,2039869,2080869,18560528,3028884,3089763
2010,Centurion,notalk,FAIL,15000000,123570,6623570,22272634,183481,9834956
2010,Charlie St. Cloud,notalk,FAIL,44000000,31206263,48478084,65333059,46336378,71982308
